,Bill_L,Bill_W,Head,Crest_L,Crest_W
1,11,4,29.5,28.3,9.2
2,10.6,4.2,21.7,27.2,7.6
3,11.1,4.3,29.5,27.6,9
4,11.5,4.4,29.7,28.1,9.3
5,11.2,4.5,30.4,27.2,9.6
6,12.2,4.3,30.7,29.8,9.9
7,11,3.9,29.5,27.2,8.9
8,11.2,4.2,30.3,28.8,8.7
9,11.2,4.7,29.6,25.9,8.9
10,11.7,4.5,30.1,28.6,9.3
11,10.3,4.2,29,27.3,11.2
12,12.2,4.4,29.7,27.2,8.3
13,11.3,4.4,30.3,29,9.3
14,11.7,4.5,28.9,27.4,9.2
15,11.8,4.2,29.3,26,8.9
16,12,4.4,29.8,27.3,9.3
17,11.6,4.5,29.7,28,8.4
18,12,4.3,30.2,26.6,10
19,11.4,4.4,29.5,26.6,9.6
20,11.5,4.3,29,27.8,8.9
21,11.6,4.4,30.1,27.7,8.4
22,11,4.2,29.3,26.5,7.9
23,11.7,4.4,30,28.5,8.6
24,11.5,4.7,30,27.1,8.8
25,11.8,4.8,31,26,9.2
26,11.8,4.9,29.6,26.9,8.3
27,11.4,4.6,30,29.3,9.1
28,11.4,4.4,30.5,27.9,9.6
29,11.4,4.5,29.7,27.9,8.4
30,11.7,4.5,29.5,25.2,8.4
31,11.5,4.6,30.2,27.2,7.9
32,11.6,4.3,28.8,26.6,9.8
33,11.6,4.5,29.4,27.1,7.9
34,11.7,4.3,29.7,27.8,7.9
35,11.7,4.2,29.6,28.5,9.1
36,12,4.4,30.1,28.5,9.3
37,12.7,4.4,29.9,27.5,8.7
38,12.1,4.5,29.2,23.7,9.8
39,11.3,4.2,29.7,28.6,8.3
40,11.2,4.4,29.2,25.9,8.1
41,11.7,4.4,29.4,28.8,9.2
42,11.9,4.7,30.9,26.1,8.5
43,11.9,4.5,29.9,26.7,8.4
44,12,4.1,29.8,26.1,8.1
45,11.3,4.5,30,28.5,8.7
46,12,4.5,29.5,26,8.3
47,11.3,4.8,29.5,26.4,7.1
48,11.2,4.8,30.1,28.6,7.5
49,11.4,4.1,29.4,26.6,8.7
50,11,4.2,29,23.2,6.6
51,12,4.3,30.5,26.2,8.3
52,12.5,4.4,30.3,28.3,9.8
53,11,4.6,29,26,7.8
54,11.6,4.3,28.6,25.9,7.8
55,12,4.2,30,25.7,8.9
56,12.2,4.2,29,26.2,9.9
57,11,4.3,29.3,26.1,9
58,10.9,4.7,29.5,27.5,9.8
59,11.2,4.8,29.3,27.2,9.1
60,11.6,4.4,28.9,25.7,8.2
61,11.7,4.1,29.5,27.5,10.3
62,12.9,4.1,29.8,27.8,10.8
63,12.3,4.7,30,25.7,8.7
64,11.6,3.7,29.7,29.2,9.4
65,11.7,4.4,29.7,25.5,8.9
66,11.7,4.5,29.5,24.2,10.3
67,11.4,4.2,29.6,27.6,10.9
68,11.5,4.9,29.7,28,8.7
69,12.2,4.6,29.7,27.8,8.9
70,11.9,4.1,29.3,27.1,9.8
71,11.9,4.7,29.8,26.7,7.4
72,12,5.1,29.8,26.8,8.7
73,12.4,4.9,30,27.4,8.1
74,12.1,4.4,29.4,28.5,10.2
75,11.8,4.6,29,27.2,9.3
76,11.8,4.6,30.6,27.3,11
77,11.9,4.7,29,27.5,10.7
78,11.6,4.6,29.5,25.2,9.1
79,11.5,4.3,29.5,26.4,9.3
80,12.8,4.6,30,27.2,10.5
81,11.8,4.7,29.2,25.7,10
82,10.9,4.5,29.7,24.4,10.8
83,12.1,4.9,30,29.1,9
84,12.8,4.2,28.8,25.6,8.9
85,11.5,4.8,29.9,25.4,8.9
86,11.9,3.9,27.9,24.2,9.5
87,11.6,5,29.4,26.7,8.7
88,11.9,4.9,29.6,25.9,8.2
89,12.1,5,29.2,25.9,9.8
90,11.2,5.1,29.3,27.5,8.7
91,11.5,4.6,29.8,28,10.4
92,10.9,4.9,29.1,25.6,9
93,11.9,4.6,29.9,27.6,8.6
94,11.6,4.5,29.6,26.2,8.5
95,11.2,4.7,28.7,24.4,9.3
96,11.9,4.8,30.1,26.8,10.1
97,11.9,4.9,30.1,27.3,9
98,12,4.6,33,28.2,9.4
99,11.4,4.7,29.7,26.6,8.3
100,,,22,,
101,,,22,,
102,,,22.2,,
103,,,22.8,,
104,12.1,5,30.1,26.6,8.2
105,12.1,4.2,27.9,26.6,8.8
106,11.9,4.7,29.5,26.3,9.1
107,12.1,4.9,30.6,26.9,8.8
108,11.9,4.2,30.6,25.1,9.9
109,12,4.4,30,28.8,10.8
110,11.5,4.8,29.8,28.5,9.5
111,11.5,4,28.5,26.3,9.5
112,11.6,4.8,28.7,27,10.2
113,12.1,4.6,29.4,26,8.9
114,10.7,4.4,28,24.9,8.5
115,11,4.7,29.3,25.5,8
116,11.9,4.7,29.4,25.5,9.3
117,11.6,4.9,29.4,25.5,7.5
118,11.6,4.5,28.5,23.2,9.1
119,11.5,5.2,28.5,25.4,8.5
120,12.5,4.9,29.9,28.1,9.2
121,11.9,5,29.9,27.5,8.3
122,12.2,5,30.4,28.6,9.5
123,11.3,4.7,28.7,26.5,8.9
