No.,Phase,Stamen,Pistill,CalyxLength,CalyxWidth,Location
1,Drop,1.6,,0.9,0.4,QSQ
2,Drop,1.4,,0.9,0.4,QSQ
3,Drop,1.6,,0.8,0.4,QSQ
4,Drop,1.6,,0.8,0.5,QSQ
5,Drop,1.7,,0.9,0.5,QSQ
6,Drop,1.7,,0.8,0.5,QSQ
7,Drop,1.9,,0.9,0.6,QSQ
8,Drop,1.7,,0.8,0.5,QSQ
9,Drop,1.8,,0.9,0.5,QSQ
10,Drop,1.6,,0.9,0.4,QSQ
11,Drop,1.7,,0.9,0.5,QSQ
12,Drop,1.7,,0.9,0.4,QSQ
13,Drop,1.9,,0.9,0.6,QSQ
14,Drop,1.6,,0.8,0.4,QSQ
15,Drop,1.5,,0.9,0.5,QSQ
16,Drop,1.6,,0.8,0.4,QSQ
17,Drop,1.6,,0.9,0.4,QSQ
18,Drop,1.7,,0.8,0.5,QSQ
