No.,Phase,Location,Time,Volume,Concentration,Color,Note,P,T
1,male,QSQL1,10:30,87,8,1,,N,1
2,male,QSQL1,10:30,79,7.6,1,,N,1
3,female,QSQL1,10:30,19.5,5.8,3,Lost,N,1
4,female,QSQL1,10:30,79,8.2,3,,N,1
5,bud,QSQL1,10:30,0,NA,NA,,N,1
6,male,QSQL5,16:30,4.5,10,NA,,N,2
7,male,QSQL5,16:30,17,8,2,,N,2
8,female,QSQL5,16:30,8,7,3,,N,2
9,female,QSQL5,16:30,66,7.6,3,,N,2
10,male,QSQL5,22:30,14,10,1,,N,3
11,male,QSQL5,22:30,30,5.8,3,,N,3
12,female,QSQL5,22:30,71,7,1,,N,3
13,female,QSQL5,22:30,17,6.5,2,,N,3
14,male,QSQL5,5:00,21,8,2,,N,4
15,male,QSQL5,5:00,22.5,7.6,2,,N,4
16,female,QSQL5,5:00,29,8,1,,N,4
17,female,QSQL5,5:00,29,8.4,1,,N,4
18,maleS,QSQL4,10:30,0.5,NA,3,Packed 7,Y,1
19,female,QSQL1,17:00,30.5,7,3,Packed,Y,2
20,femalex,QSQL1,17:00,NA,NA,NA,Packed,Y,2
21,female,QSQL5,17:00,NA,NA,NA,Packed,Y,2
22,female,QSQL4,17:00,37,5,3,Packed,Y,2
23,female,QSQL5,17:00,5,4.8,3,Packed,Y,2
24,x,QSQL1,17:00,NA,NA,NA,Packed,Y,2
25,x,QSQL1,17:00,NA,NA,NA,Packed,Y,2
26,male,QSQL2,17:00,17.2,6,1,Packed,Y,2
27,x,QSQL4,17:00,NA,NA,NA,Packed,Y,2
28,male,MYYL2,10:00,79,4.9,,Packed,Y,1
29,maleS,MYYL2,10:00,NA,NA,NA,Packed,Y,1
30,male,MYYL2,10:00,67.5,4,0,Packed,Y,1
31,male,MYYL2,10:00,34,3.5,0,Packed,Y,1
32,maleS,MYYL2,10:00,128,5.1,0,,N,1
33,?,MYYL2,11:00,60,NA,,,N,1
34,female,QSQL5,16:00,6,2,0,,N,2
35,maleS,QSQL2,16:00,NA,NA,,Packed,Y,2
36,female,MYYL2,10:40,42,11.2,0,Packed,Y,1
37,female,MYYL2,10:40,83,6.2,0,Packed,Y,1
38,male,MYYL7,10:40,128.5,9.6,0,Packed,Y,1
39,female,QSQL1,16:10,130,6,0,Packed,Y,2
40,female,QSQL1,16:10,91,5.9,0,Packed,Y,2
