wavelength,Corolla_Lobe,Corolla_Tube,Leaves
300.2,5.293 ,1.784 ,0.461 
300.41,5.297 ,1.788 ,0.465 
300.62,5.301 ,1.793 ,0.468 
300.83,5.305 ,1.797 ,0.472 
301.04,5.309 ,1.802 ,0.476 
301.25,5.313 ,1.807 ,0.480 
301.46,5.317 ,1.811 ,0.484 
301.67,5.321 ,1.816 ,0.487 
301.89,5.325 ,1.820 ,0.491 
302.1,5.329 ,1.825 ,0.495 
302.31,5.333 ,1.829 ,0.499 
302.52,5.337 ,1.834 ,0.503 
302.73,5.341 ,1.838 ,0.507 
302.94,5.345 ,1.843 ,0.511 
303.15,5.349 ,1.847 ,0.514 
303.36,5.353 ,1.852 ,0.518 
303.57,5.357 ,1.856 ,0.522 
303.78,5.361 ,1.860 ,0.526 
303.99,5.364 ,1.865 ,0.530 
304.2,5.368 ,1.869 ,0.534 
304.41,5.372 ,1.874 ,0.538 
304.62,5.376 ,1.878 ,0.542 
304.83,5.380 ,1.882 ,0.546 
305.04,5.383 ,1.887 ,0.550 
305.25,5.387 ,1.891 ,0.554 
305.47,5.391 ,1.896 ,0.558 
305.68,5.394 ,1.900 ,0.562 
305.89,5.398 ,1.904 ,0.566 
306.1,5.402 ,1.908 ,0.570 
306.31,5.405 ,1.913 ,0.574 
306.52,5.409 ,1.917 ,0.578 
306.73,5.412 ,1.921 ,0.582 
306.94,5.416 ,1.926 ,0.586 
307.15,5.419 ,1.930 ,0.591 
307.36,5.423 ,1.934 ,0.595 
307.57,5.426 ,1.938 ,0.599 
307.78,5.430 ,1.943 ,0.603 
307.99,5.433 ,1.947 ,0.607 
308.2,5.437 ,1.951 ,0.611 
308.41,5.440 ,1.955 ,0.616 
308.62,5.443 ,1.960 ,0.620 
308.83,5.447 ,1.964 ,0.624 
309.04,5.450 ,1.968 ,0.628 
309.25,5.453 ,1.972 ,0.633 
309.46,5.456 ,1.976 ,0.637 
309.67,5.460 ,1.980 ,0.641 
309.88,5.463 ,1.984 ,0.645 
310.09,5.466 ,1.988 ,0.650 
310.3,5.469 ,1.992 ,0.654 
310.51,5.472 ,1.997 ,0.658 
310.72,5.476 ,2.001 ,0.663 
310.93,5.479 ,2.005 ,0.667 
311.14,5.482 ,2.009 ,0.671 
311.35,5.485 ,2.013 ,0.676 
311.56,5.488 ,2.017 ,0.680 
311.77,5.491 ,2.020 ,0.684 
311.98,5.494 ,2.024 ,0.689 
312.19,5.497 ,2.028 ,0.693 
312.4,5.500 ,2.032 ,0.698 
312.61,5.503 ,2.036 ,0.702 
312.83,5.506 ,2.040 ,0.706 
313.04,5.509 ,2.044 ,0.711 
313.25,5.511 ,2.048 ,0.715 
313.46,5.514 ,2.051 ,0.719 
313.67,5.517 ,2.055 ,0.724 
313.88,5.520 ,2.059 ,0.728 
314.09,5.523 ,2.063 ,0.732 
314.3,5.526 ,2.066 ,0.737 
314.51,5.528 ,2.070 ,0.741 
314.72,5.531 ,2.074 ,0.746 
314.93,5.534 ,2.078 ,0.750 
315.14,5.537 ,2.082 ,0.755 
315.35,5.540 ,2.086 ,0.759 
315.56,5.543 ,2.090 ,0.764 
315.77,5.546 ,2.094 ,0.769 
315.98,5.549 ,2.098 ,0.773 
316.19,5.552 ,2.102 ,0.778 
316.4,5.555 ,2.106 ,0.783 
316.61,5.558 ,2.111 ,0.788 
316.81,5.561 ,2.115 ,0.792 
317.02,5.564 ,2.119 ,0.797 
317.23,5.567 ,2.123 ,0.802 
317.44,5.570 ,2.127 ,0.807 
317.65,5.573 ,2.131 ,0.812 
317.86,5.576 ,2.136 ,0.817 
318.07,5.578 ,2.140 ,0.822 
318.28,5.581 ,2.144 ,0.826 
318.49,5.584 ,2.148 ,0.831 
318.7,5.587 ,2.152 ,0.836 
318.91,5.590 ,2.156 ,0.841 
319.12,5.593 ,2.160 ,0.846 
319.33,5.595 ,2.164 ,0.851 
319.54,5.598 ,2.168 ,0.856 
319.75,5.601 ,2.172 ,0.861 
319.96,5.603 ,2.175 ,0.865 
320.17,5.606 ,2.179 ,0.870 
320.38,5.608 ,2.183 ,0.875 
320.59,5.610 ,2.186 ,0.880 
320.8,5.613 ,2.189 ,0.884 
321.01,5.615 ,2.193 ,0.889 
321.22,5.617 ,2.196 ,0.893 
321.43,5.619 ,2.199 ,0.898 
321.64,5.621 ,2.202 ,0.903 
