Stigma,Aeschynanthus,Prunus,Machilus
2,0,0,5
2,2,0,1
3,1.5,0,0
3,0,0,2
4,3.5,0,0
4,1.5,0,0
4,4,0,0
4,7,0,0
4,1,0,0
4,17.5,1,0
4,38,0,0
4,13,0,0
4,10,0,1
4,5,0,0
7,1,0,0
7,1,0,0
7,15.5,0,0
7,1,0,0
7,2,0,0
7,12,0,0
7,12.5,0,0
7,15,0,0
7,3,0,0
7,2.5,0,0
7,2,0,0
7,11,0,0
8,8,0,0
8,49.5,0,0
8,39,0,0
8,52.5,0,0
8,5.5,0,0
8,7.5,0,0
8,10,0,0
8,5.5,0,0
8,5,0,0
8,3,0,0
8,10.5,0,0
8,19,0,0
8,17.5,0,0
8,15.5,0,0
8,13,0,0
8,10,0,0
9,7.5,0,0
9,0,2,0
9,17,0,0
9,22,2,0
9,0,1,0
9,2.5,0,0.5
9,3,2,0
9,56,0,0
9,8.5,1,0
9,10,0,0
9,27.5,0,0
9,15,0,0
9,4,1,0
9,3,0,0
10,28.5,3.5,0
10,47.5,2,0
10,16.5,0,0
10,36.5,3,0
10,28.5,0,0
10,10.5,1,0
10,4.5,5,0
10,1,4.5,0
10,1,3,0
11,6,0,0
11,1,0,0
11,4,0,0
11,4.5,0,0
11,3,0,0
11,3,1.5,0
11,12.5,0,0
11,10,0,0
11,4,0,0
11,8,0,0
11,17.5,0,0
11,8,1,0
11,8,0,0
12,1,0,0
12,1,0,0
14,1,0,0
14,1,0,0
14,1.5,0,0
14,8.5,0,0
14,16,0,0
14,7.5,0,0
14,1.5,0,0
14,2,0,0
15,8,0,0
15,13,1,0
15,8.5,1,0
15,6.5,0,0
15,6.5,0,0
15,0,1.5,0
15,1.5,4,0
15,2.5,12,0
15,10.5,16,0
15,7,3,0
15,3,1,0
15,11,0,0
15,14,0,0
15,45,0,0
15,41,2,0
15,18.5,1,0
15,44.5,8,0
15,48.5,5,0
15,20,6.5,0
15,22.5,4,0
15,60,0.5,0
15,32.5,0,0
15,71.5,0,0
16,1,0,0
16,6.5,0,0
16,16,0,0
16,5.5,0,0
16,12,0,0
16,18,0,0
17,3.5,0,0
17,4.5,0,1
17,4,0,0
17,9,0,0
17,10,0,0
17,5.5,0,0
17,8,0,0
17,18,0,0
17,14,0,0
18,5,0,0
18,6,0,0
18,11.5,0,0
18,18,0,0
18,8,0,0
